state,District Name,block,Annual Domestic and Industry Draft,Annual Irrigation Draft,Annual Groundwater Draft (Total),Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Stage of Groundwater Development (%)
MP,Dhar,Dahi,244.875,2483.57,2728.44,6196.18,0.129,5886.37,46.3519
MP,Dhar,Badnawar,481.38,15920.5,16401.88,16717.6,0.161,15881.72,103.275
MP,Jhabua,Jhabua,694.711,570.715,1265.43,2597.66,0.063,2467.78,51.278
MP,Katni,Rithi,271.616,1158.0,1429.61,4782.12,0.075,4543.01,31.4684
MP,Katni,Badwara,434.317,3206.95,3641.27,8622.68,0.092,8191.55,44.4516
MP,Khandwa,Baladi,174.025,2423.0,2597.03,7332.33,0.134,6965.71,37.283
MP,Khandwa,Punasa,491.146,6768.36,7259.51,11247.42,0.124,10685.05,67.9408
MP,Dhar,Sardarpur,566.797,8575.03,9141.82,13909.22,0.109,13213.76,69.1841
MP,Dhar,Tirla,202.185,6522.25,6724.43,7742.19,0.145,7355.08,91.4258
MP,Dhar,Manawar,452.024,5208.82,5660.84,9543.36,0.236,9066.19,97.0
MP,Khandwa,Chhaigaon Makhan,579.796,10702.04,11281.84,14139.17,0.164,13432.21,83.9909
BR,Samastipur,Rosare,474.0,1468.0,1942.0,3741.0,0.379294,3554.0,54.6
MP,Dhar,Dharampuri,309.537,5256.69,5566.22,13.9,0.139,5649.42,99.0
MP,Morena,Kailaras,426.803,2125.61,2552.42,6661.25,0.127,6328.19,74.0
MP,Morena,Morena,1365.51,3515.7,4881.21,14983.44,0.148,14234.27,71.0
MP,Dindori,Shahpura,255.614,729.0,984.614,11411.42,0.102,10840.85,9.08245
JH,Chatra,Chatra,265.627,893.071,1158.7,3771.77,0.082036,3394.6,34.1336
MP,Dindori,Samnapur,166.508,243.0,409.508,4669.13,0.089,4435.67,9.23216
MP,Dindori,Dindori,310.748,283.5,594.248,8563.98,0.091,8135.78,7.30413
MP,Rewa,Naigarhi,350.675,1204.31,1554.98,2618.94,0.073,2488.0,62.4994
MP,Sagar,Bina,198.613,7293.24,7491.85,12765.69,0.155,12127.41,61.7762
MP,Dindori,Karanjiya,172.44,190.35,362.79,6373.65,0.113,6054.97,5.99162
MP,Guna,Bamori,468.48,8785.79,9254.27,18943.19,0.12,17996.03,51.4239
MP,Guna,Guna,481.806,10018.89,10500.7,15573.28,0.108,14794.62,70.9765
MP,Hoshangabad,Kesla,579.996,2887.92,3467.92,20267.89,0.249,19254.49,18.0109
JH,Chatra,Gidhaur,55.03,674.92,729.95,1677.66,0.0,1593.78,45.8
MH,Akola,Akola,243.092,1893.85,2136.94,5.28473,0.00531,4943.45,43.2277
MH,Akola,Balapur,148.646,1796.74,1945.38,7.19119,0.010731,4547.43,42.7798
MP,Hoshangabad,Babai,298.488,2324.7,2623.19,39529.25,0.443,37552.78,6.98534
MP,Hoshangabad,Sohagpur,574.376,432.086,1006.46,8438.67,0.363,8016.74,12.5545
JH,Chatra,Hunterganj,255.676,1929.31,2184.99,4722.13,0.109486,4486.03,48.7065
JH,Garhwa,Chinia,54.8926,328.549,383.442,1461.39,146.139,1315.25,29.1534
MP,Hoshangabad,Hoshangabad,419.648,3195.61,3615.26,43296.29,0.647,41131.47,8.78952
MP,Hoshangabad,Seoni Malwa,457.089,3125.74,3582.82,50069.56,0.374,47566.08,7.53231
MP,Indore,Depalpur,741.705,18334.08,19075.78,16574.59,0.164,15745.86,121.148
MP,Indore,Indore,1067.58,25572.74,26640.32,18958.63,0.184,18010.7,147.914
MP,Indore,Mhow,1080.5,8903.24,9983.74,14551.23,0.143,13823.67,72.222
MP,Jabalpur,Patan,403.868,6034.52,6438.39,13010.34,0.13,12359.82,52.0913
MP,Jabalpur,Kundam,366.371,689.904,1056.28,6070.1,0.073,5766.59,18.3171
MP,Jabalpur,Panagar,505.394,5352.77,5858.16,14934.94,0.301,14188.19,41.289
MP,Jabalpur,Sihora,410.717,2484.22,2894.93,5221.39,0.113,4960.32,58.3619
JH,Chatra,Kunda,40.24,116.2,156.43,2080.2,0.0,1872.18,8.36
MP,Jhabua,Petlawad,441.7,3050.78,3492.48,9220.29,0.101,8759.28,39.8718
JH,Chatra,Lawalong,69.19,382.68,451.87,3262.1,0.0,3099.0,14.58
MP,Jhabua,Thandla,315.939,1526.07,1842.0,3388.9,0.069,3219.46,57.2147
MH,Thane,Ambarnath,36.9276,153.028,189.956,10.3309,0.038131,2602.26,7.29963
MH,Wardha,Arvi,525.58,3824.43,4350.01,13.717,0.017259,10285.15,42.294
MH,Amravati,Dharni,260.934,538.52,799.454,9.12532,0.023291,3396.53,23.5373
MH,Aurangabad,Kannad,485.868,10883.03,11368.9,13.8839,0.010843,16839.52,67.5132
MP,Jhabua,Meghnagar,333.68,968.22,1301.9,3063.67,0.067,2910.49,44.7313
MP,Satna,Amarpatan,528.508,5421.6,5950.11,6645.46,0.102,6313.19,94.2489
MP,Jhabua,Rama,375.044,830.808,1205.85,3056.06,0.069,2903.25,41.5345
MP,Satna,Maihar,908.053,4825.28,5733.33,7573.82,0.08,7195.13,79.6835
MP,Sehore,Sehore,805.951,22283.91,23089.86,24918.32,0.172,23672.4,97.5392
MP,Sehore,Ashta,735.904,18957.24,19693.14,23286.87,0.161,22122.52,89.0185
BR,Kishanganj,Bahadurganj,524.0,2608.0,3132.0,10557.0,0.423946,9501.0,33.0
MH,Aurangabad,Khuldabad,198.114,4018.69,4216.81,15.616,0.035715,6486.56,65.0084
MP,Khandwa,Khandwa,548.969,6273.18,6822.15,11108.61,0.135,10553.18,64.6455
JH,Chatra,Itkhori,188.033,1350.29,1538.32,2746.18,0.107084,2608.87,58.9652
MH,Aurangabad,Paithan,426.459,13364.87,13791.33,13.759,0.009173,19605.05,70.3458
MH,Aurangabad,Sillod,361.103,9444.46,9805.56,12.0772,0.010261,13503.67,72.614
MP,Khandwa,Pandhana,428.94,10097.57,10526.51,17748.48,0.152,16861.05,62.4309
MP,Khargone,Bhagwanpura,460.816,2320.82,2781.64,4871.31,0.093,4627.74,60.1079
BR,Kishanganj,Kochadhiman,438.0,4324.0,4762.0,12621.0,0.436965,11359.0,41.9
MP,Khargone,Gogawan,127.379,3543.52,3670.9,5345.92,0.131,5078.63,72.2814
MP,Khargone,Maheshwar,546.634,7098.84,7645.47,9847.19,0.119,9354.83,81.7275
MP,Khargone,Badwah,546.628,10617.35,11163.98,14958.04,0.112,14210.14,78.5635
JH,Chatra,Pratappur,158.261,885.625,1043.89,3522.61,0.108109,3170.35,32.9265
JH,Giridih,Gawan,157.896,746.672,904.568,3236.85,0.117383,2913.16,31.0511
MP,Khargone,Kasrawad,361.809,8201.92,8563.73,12630.24,0.125,11998.73,71.372
BR,Saharsa,Kahara,502.0,1317.0,1820.0,5390.0,0.398853,4851.0,37.5
MP,Khargone,Bhikangaon,423.133,8346.84,8769.98,12856.07,0.141,12213.26,71.807
BR,Saharsa,Satar Kateya,247.0,1728.0,1975.0,5806.0,0.375824,5515.0,35.8
MH,Aurangabad,Vaijapur,492.179,13179.02,13671.2,13.6934,0.010191,17479.32,78.2136
MH,Beed,Ambejogai,367.858,4921.53,5289.39,12.8818,0.014335,10987.18,48.1415
MP,Mandla,Mohgaon,621.486,4668.13,5289.62,16510.93,0.087,15685.38,33.7233
MP,Mandla,Mandla,521.904,814.86,1336.76,5586.67,0.113,5307.34,25.1871
MP,Mandla,Nainpur,339.788,871.56,1211.35,7534.89,0.118,7158.15,16.9226
MH,Beed,Ashti,806.058,8406.74,9212.8,12.7343,0.008865,17354.83,53.0849
MH,Beed,Beed,790.686,8542.99,9333.67,12.7823,0.009484,16366.41,57.0295
MP,Mandla,Ghughri,198.848,198.45,397.298,7420.71,0.084,7049.68,5.63569
MP,Mandla,Mawai,199.466,834.3,1033.77,12791.12,0.109,12151.57,8.50726
MP,Mandsaur,Bhanpura,374.833,4372.88,4747.71,5685.88,0.112,5401.58,87.8948
JH,Godda,Pathargama,297.862,638.001,935.863,2318.82,0.104976,2086.94,44.8439
MH,Bhandara,Tumsar,407.591,2611.61,3019.21,11.8519,0.016433,8120.52,37.18
MH,Chandrapur,Warora,592.776,1264.45,1857.23,9.89167,0.009126,10185.5,18.2341
MP,Mandsaur,Garoth,619.422,9305.21,9924.63,14242.93,0.125,13530.79,73.3485
MP,Mandsaur,Mandsaur,1096.86,15174.64,16271.5,14714.43,0.116,13978.71,116.402
BR,Saharsa,Banian Itarhat,136.0,835.0,971.0,2751.0,0.36495,2613.0,37.1
MH,Dhule,Dhule,418.648,12334.41,12753.06,11.412,0.006249,19535.58,65.2812
MH,Dhule,Sakri,523.179,9067.0,9590.18,10.7522,0.005464,19980.6,47.9974
MP,Morena,Joura,700.13,2046.0,2746.13,8395.43,0.147,7975.65,34.4313
MP,Morena,Pahadgarh,321.901,2303.0,2624.9,8063.42,0.11,7660.25,34.2665
MP,Neemuch,Manasa,542.086,9521.71,10063.8,16028.0,0.139,15226.6,66.0935
MP,Neemuch,Neemuch,709.693,13037.76,13747.45,15383.15,0.149,14614.0,94.0705
MP,Panna,Pawai,411.841,1520.69,1932.53,13988.12,0.076,13288.71,14.5427
MP,Panna,Panna,465.543,1766.66,2232.21,13870.99,0.084,13177.44,16.9396
MP,Raisen,Gairatganj,268.392,3916.49,4184.88,9734.0,0.13,9247.3,45.2551
MP,Raisen,Sanchi,412.366,7620.48,8032.85,13529.12,0.129,12852.67,62.4994
MP,Raisen,Udaipura,314.665,5481.43,5796.1,12307.66,0.192,11692.28,49.572
JH,Chatra,Simaria,151.35,709.094,860.444,4197.4,0.090959,3987.53,21.5784
MH,Dhule,Shirpur,436.503,6873.17,7309.67,13.7135,0.010486,16847.57,43.3871
MH,Gadchiroli,Aheri,273.624,849.471,1123.09,8.94532,0.00784,9696.16,11.5829
MH,Gadchiroli,Armori,251.391,2449.42,2700.82,12.4709,0.019641,7522.34,35.9039
MH,Gadchiroli,Chamorshi,478.129,2572.08,3050.21,10.2914,0.008195,12278.06,24.8427
MP,Raisen,Silwani,368.651,7379.1,7747.75,13927.02,0.14,13230.67,58.559
MP,Rajgarh,Narsingarh,846.441,18751.82,19598.27,20789.84,0.152,19750.35,99.23
MH,Gadchiroli,Dhanora,244.962,1936.29,2181.25,11.5719,0.015344,8290.75,26.3095
MP,Rajgarh,Biaoraa,609.2,11419.77,12028.97,16134.72,0.141,15327.98,78.4772
JH,Chatra,Tandwa,144.783,972.317,1117.1,3412.73,0.106738,3071.46,36.3703
MH,Gadchiroli,Etapalli,238.67,1737.39,1976.06,10.0992,0.008798,11013.44,17.9422
MH,Gadchiroli,Gadchiroli,203.418,1368.89,1572.3,11.7684,0.022744,5784.96,27.1791
MP,Ratlam,Jaora,383.392,26620.81,27004.2,17059.13,0.224,16206.17,166.629
BR,Saharsa,Saurbazar,310.0,3433.0,3744.0,7934.0,0.39909,7537.0,49.7
MH,Jalgaon,Raver,143.611,11736.04,11879.65,10.9324,0.011642,9752.98,121.805
MH,Jalgaon,Yawal,1732.32,8665.99,10398.31,9.6108,0.011473,7648.33,135.955
MH,Jalna,Ambad,147.301,5719.77,5867.07,11.5282,0.010396,12143.88,48.313
MP,Ratlam,Piploda,312.563,19735.0,20047.56,12543.19,0.208,11916.03,168.24
MP,Ratlam,Ratlam,643.756,23161.3,23805.06,23648.01,0.178,22465.61,105.962
BR,Saharsa,Sonbarsa,375.0,2008.0,2383.0,5814.0,0.362655,5524.0,43.1
MH,Jalna,Badnapur,116.534,4612.96,4729.5,12.455,0.023311,6322.04,74.8097
MH,Jalna,Bhokardan,255.564,9397.14,9652.71,11.2642,0.008847,13571.52,71.1247
MP,Ratlam,Sailana,260.111,3521.56,3781.67,5497.76,0.126,5222.87,72.4059
MP,Ratlam,Bajna,377.353,2118.15,2495.5,4381.15,0.082,4162.09,59.9579
MP,Umaria,Pali,231.393,287.712,519.105,10202.92,0.125,9692.77,5.35559
MP,Umaria,Manpur,422.069,2037.96,2460.03,22988.69,0.125,21839.26,11.2643
MP,Rewa,Raipur Karchuliyan,564.235,2371.68,2935.92,4692.05,0.078,4457.45,65.8654
MP,Rewa,Hanumana,525.193,338.58,863.773,6790.77,0.076,6451.23,13.3893
MP,Vidisha,Kurwai,361.369,6300.63,6662.0,11249.02,0.139,10686.57,62.3399
MP,Vidisha,Sironj,510.959,8559.2,9070.16,17256.08,0.173,16393.28,55.3285
MP,Rewa,Jawa,496.315,1854.9,2351.21,5553.84,0.076,5276.15,44.5631
MP,Vidisha,Lateri,400.359,3817.12,4217.48,11302.81,0.127,10737.67,39.2774
MP,Vidisha,Basoda,933.548,6293.32,7226.87,14160.29,0.13,13452.28,53.7223
MP,Vidisha,Vidisha,580.236,7974.64,8554.88,16477.9,0.155,15654.01,54.6497
MP,Datia,Seondha,461.447,7413.55,7875.0,16833.55,0.182,15991.88,49.2437
MP,Rewa,Gangeve,498.108,3774.6,4272.71,5536.18,0.094,5259.37,81.2399
CG,Bastar,Bastar,358.8,863.492,1222.29,6008.91,0.062636,5408.02,22.6
BR,Saharsa,Patarghat,187.0,2075.0,2262.0,4900.0,0.377603,4655.0,48.6
MH,Jalna,Ghansavangi,150.53,5737.98,5888.51,16.665,0.015294,17251.42,34.1335
MH,Jalna,Jafferabad,133.434,6095.12,6228.55,13.8896,0.020019,9124.5,68.2618
MP,Rewa,Mauganj,370.346,1216.73,1587.07,4287.52,0.096,4073.15,38.9643
BR,Gaya,Konch,296.0,2909.0,3205.0,8670.0,0.300622,7803.0,41.1
MP,Sagar,Khurai,230.1,8934.62,9164.72,15733.43,0.173,14946.75,61.3158
MP,Sagar,Rehli,258.664,6491.02,6749.68,10259.61,0.101,9746.62,69.2515
MP,Sagar,Kesli,162.532,4429.44,4591.97,10804.54,0.164,10264.31,44.7373
MP,Sagar,Jaisinagar,191.616,7761.96,7953.58,13701.78,0.179,13016.69,61.1029
MP,Sagar,Sagar,294.078,8016.62,8310.7,11555.52,0.107,10977.75,75.705
MP,Sagar,Deori,169.243,5807.27,5976.51,13506.08,0.152,12830.77,46.5795
MP,Sagar,Banda,260.696,6867.18,7127.88,9979.21,0.12,9480.25,75.1866
MP,Sagar,Shahgarh,172.636,3487.51,3660.14,8469.49,0.133,8046.02,45.4901
MP,Satna,Nagod,552.525,6731.64,7284.16,9078.3,0.099,8624.39,84.4601
OD,Mayurbhanj,Gopa Bandhu Nagar,191.0,1106.63,1297.63,3660.0,0.190952,3477.0,37.32
MP,Satna,Ramnagar,345.749,1502.55,1848.3,3987.41,0.079,3788.04,48.793
BR,Banka,Belhar,233.0,986.0,1219.0,2778.0,0.158147,2500.0,48.8
MH,Jalna,Jalna,172.922,7373.24,7546.16,10.8879,0.008788,12561.03,60.076
MP,Seoni,Barghat,557.01,2415.18,2972.19,6692.5,0.097,6357.88,46.7482
MP,Seoni,Chhapara,261.113,1970.6,2231.72,7494.0,0.119,7119.3,31.3474
MP,Seoni,Lakhnadon,441.155,2571.85,3013.0,14269.89,0.092,13556.39,22.2257
MP,Seoni,Kurai,287.405,2385.76,2673.16,13075.93,0.078,12422.14,21.5194
MP,Seoni,Seoni,634.0,6044.95,6678.95,12842.79,0.099,12200.65,54.7426
MH,Jalna,Mantha,136.666,3478.91,3615.58,10.3566,0.012887,7863.22,45.9808
MH,Jalna,Partur,181.716,4459.16,4640.88,12.6812,0.012998,11668.72,39.7719
MH,Kolhapur,Bhudargad,80.3424,2468.62,2548.96,13.1479,0.026277,6249.67,40.7856
MH,Kolhapur,Chandgad,139.277,6241.73,6381.01,20.1627,0.026858,14379.52,44.3757
MP,Shahdol,Beohari,390.438,794.448,1184.89,9042.53,0.096,8590.41,13.7931
BR,Banka,Rajon,295.0,1391.0,1686.0,6071.0,0.271781,5464.0,30.9
MH,Kolhapur,Gadhinglaj,100.858,6979.5,7080.36,27.6086,0.057813,12525.25,56.5287
MH,Kolhapur,Radhanagari,93.0792,3426.56,3519.64,30.4659,0.064599,13649.85,25.7852
MP,Shahdol,Sohagpur,574.376,432.086,1006.46,8438.67,0.113,8016.74,12.5545
CG,Jashpur,Kunkuri,212.79,1596.75,1809.54,4558.4,0.090265,4314.45,41.94
BR,Sitamarhi,Batnaha,387.0,4044.0,4432.0,7853.0,0.424594,7461.0,59.4
MH,Kolhapur,Shahuwadi,123.794,1394.39,1518.18,17.8283,0.051252,5891.6,25.7685
MH,Nanded,Ardhapur,69.9956,2881.62,2951.61,16.7051,0.059288,4471.49,66.0096
MP,Shahdol,Burhar,310.413,117.936,428.349,17447.93,0.157,16575.54,5.21623
MP,Shajapur,Kalapipal,475.303,13164.77,13640.07,15033.84,0.184,14282.15,95.5043
MP,Sheopur,Sheopur,543.11,4064.43,4607.54,23799.25,0.167,22609.29,20.379
MP,Sheopur,Vijaypur,471.793,5964.45,6436.24,11525.04,0.07,10948.79,58.785
MP,Shivpuri,Pohri,455.979,5057.47,5513.45,12961.72,0.086,12313.63,44.7751
MP,Shivpuri,Badarwas,364.438,8837.91,9202.35,10565.7,0.092,10037.41,91.6805
JH,Deoghar,Deoghar,932.96,595.088,1528.05,3378.0,0.122227,3039.78,50.2683
MP,Shivpuri,Karera,462.377,4693.25,5155.63,7866.75,0.078,7473.41,76.0
MP,Shivpuri,Kolaras,316.619,5878.95,6195.57,10295.7,0.096,9780.92,63.3435
CG,Korba,Katghora,2982.11,2442.0,5424.11,7256.5,0.228594,6532.28,83.04
BR,Sitamarhi,Balsand,277.0,1452.0,1729.0,3400.0,0.400631,3230.0,53.5
BR,Sitamarhi,Dumra,658.0,2617.0,3275.0,7573.0,0.354234,7195.0,45.5
MP,Sidhi,Sihawal,615.079,2439.94,3055.01,5251.95,0.085,4989.35,61.2307
JH,Deoghar,Devipur,150.929,775.57,6626.5,2943.0,0.0,2795.41,22.41
MH,Nanded,Bhokar,101.976,2448.72,2550.7,13.9568,0.022144,8356.57,30.5232
MH,Nanded,Biloli,216.825,1522.9,1739.72,13.0296,0.022451,7183.9,24.2169
MH,Nanded,Dharmabad,78.5521,722.181,800.733,11.0931,0.033077,3534.28,22.6562
MP,Sidhi,Sidhi,570.986,2249.66,2820.65,4349.95,0.07,4132.46,71.0
MH,Nanded,Hadgaon,288.548,5159.7,5448.25,13.8541,0.013797,13215.52,41.2261
MH,Nanded,Nanded,353.419,3055.83,3409.25,16.6275,0.040921,6386.7,53.3805
MP,Sidhi,Rampur Naikin,728.112,3000.76,3728.87,6748.2,0.106,6410.79,58.1655
MP,Sidhi,Kusmi,161.885,1490.89,1652.77,13846.95,0.196,13154.6,12.5642
MP,Singrauli,Chitrangi,774.885,1709.37,2484.25,8742.71,0.051,8305.57,29.9107
MH,Nandurbar,Akrani,292.798,659.419,952.217,10.6785,0.028137,3849.96,24.7332
MP,Singrauli,Deosar,695.66,2753.35,3449.01,13113.99,0.094,12458.29,27.6845
MP,Tikamgarh,Tikamgarh,237.879,7172.6,7410.48,10990.2,0.129,10440.69,70.9769
MP,Ujjain,Mahidpur,539.616,12458.28,12997.89,16156.27,0.142,15348.46,84.6853
